date,code,name,entry_price,exit_price,qty,profit_loss,profit_loss_pct,exit_reason,entry_time,exit_time,mfe_pct,mae_pct,gap_from_open_pct
20260128,6723,ルネサスエレクトロニクス,2517.5,2567.85,100,5034.999999999991,1.9999999999999962,利確,09:39,11:03,2.006,-0.9732,1.1
20260129,5659,日本精線,1229.0,1253.58,300,7373.999999999978,1.9999999999999942,利確,09:30,09:59,2.1155,0.0,2.42
20260130,3793,ドリコム,447.0,442.53,800,-3576.000000000022,-1.000000000000006,損切り,09:31,09:52,0.4474,-1.3423,2.52
20260202,3132,マクニカホールディングス,2715.5,2688.345,100,-2715.50000000002,-1.0000000000000073,損切り,09:30,10:12,0.2946,-1.1232,1.14
20260203,8542,トマト銀行,1612.0,1595.8799999999999,200,-3224.0000000000236,-1.0000000000000073,損切り,09:30,13:51,1.4268,-1.2407,0.56
20260204,3566,ユニフォームネクスト,705.0,719.1,500,7050.000000000011,2.000000000000003,利確,09:32,10:29,2.1277,-0.2837,1.88
20260205,6994,指月電機製作所,921.0,915.0,400,-2400.0,-0.6514657980456027,前場引け,09:33,11:30,1.5201,-0.8686,1.54
20260209,5984,兼房,839.0,830.61,400,-3355.9999999999945,-0.9999999999999984,損切り,09:48,09:56,0.0,-1.0727,2.82
20260210,6969,松尾電機,875.0,892.5,400,7000.0,2.0,利確,09:38,09:56,2.5143,-0.1143,1.86
20260212,1810,松井建設,1742.0,1776.84,200,6967.999999999984,1.9999999999999951,利確,09:32,09:39,2.0092,0.0,0.4
20260216,6494,ＮＦＫホールディングス,146.0,144.54,2700,-3942.0000000000214,-1.0000000000000053,損切り,10:06,10:07,0.0,-3.4247,2.82
20260226,7375,リファインバースグループ,898.0,915.96,400,7184.000000000015,2.000000000000004,利確,09:32,11:07,2.3385,-0.3341,2.16
